real,prompt,model,cfg_scale,steps,denoising_strength,forged1,seed1,forged2,seed2,forged3,seed3,forged4,seed4,forged5,seed5
000031.jpg,"a high-quality portrait photo of a person, , Young, , Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000031_forg_893157366.png,893157366,000031_forg_956026996.png,956026996,000031_forg_501942006.png,501942006,000031_forg_680267853.png,680267853,000031_forg_324288048.png,324288048
000032.jpg,"a high-quality portrait photo of a person, Male, , , ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000032_forg_521804962.png,521804962,000032_forg_901945422.png,901945422,000032_forg_992927216.png,992927216,000032_forg_439290553.png,439290553,000032_forg_588054849.png,588054849
000033.jpg,"a high-quality portrait photo of a person, Male, Young, Black Hair, Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000033_forg_623578957.png,623578957,000033_forg_817173759.png,817173759,000033_forg_354714397.png,354714397,000033_forg_655820632.png,655820632,000033_forg_928310638.png,928310638
000034.jpg,"a high-quality portrait photo of a person, , Young, , ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000034_forg_295952604.png,295952604,000034_forg_45220736.png,45220736,000034_forg_604980030.png,604980030,000034_forg_47296413.png,47296413,000034_forg_796190120.png,796190120
000035.jpg,"a high-quality portrait photo of a person, , Young, Black Hair, ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000035_forg_650128421.png,650128421,000035_forg_70970638.png,70970638,000035_forg_638803185.png,638803185,000035_forg_580820074.png,580820074,000035_forg_142753135.png,142753135
000036.jpg,"a high-quality portrait photo of a person, Male, Young, Black Hair, ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000036_forg_952921571.png,952921571,000036_forg_780475358.png,780475358,000036_forg_678988140.png,678988140,000036_forg_503853818.png,503853818,000036_forg_813291322.png,813291322
000037.jpg,"a high-quality portrait photo of a person, Male, Young, , ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000037_forg_843983004.png,843983004,000037_forg_316024103.png,316024103,000037_forg_106368660.png,106368660,000037_forg_140073717.png,140073717,000037_forg_300146382.png,300146382
000038.jpg,"a high-quality portrait photo of a person, Male, Young, , Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000038_forg_807803836.png,807803836,000038_forg_57943531.png,57943531,000038_forg_1059076114.png,1059076114,000038_forg_541596012.png,541596012,000038_forg_688374055.png,688374055
000039.jpg,"a high-quality portrait photo of a person, , Young, , Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000039_forg_345296309.png,345296309,000039_forg_931747921.png,931747921,000039_forg_642166357.png,642166357,000039_forg_405597134.png,405597134,000039_forg_369347244.png,369347244
000040.jpg,"a high-quality portrait photo of a person, , Young, Black Hair, ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000040_forg_437972494.png,437972494,000040_forg_2655315.png,2655315,000040_forg_931729092.png,931729092,000040_forg_510285166.png,510285166,000040_forg_262517334.png,262517334
000041.jpg,"a high-quality portrait photo of a person, Male, Young, Black Hair, Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000041_forg_958683003.png,958683003,000041_forg_799906207.png,799906207,000041_forg_767583665.png,767583665,000041_forg_20979868.png,20979868,000041_forg_195643577.png,195643577
000042.jpg,"a high-quality portrait photo of a person, , Young, , Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000042_forg_979144776.png,979144776,000042_forg_909403426.png,909403426,000042_forg_597349311.png,597349311,000042_forg_714666478.png,714666478,000042_forg_583406400.png,583406400
000043.jpg,"a high-quality portrait photo of a person, , Young, , Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000043_forg_709831565.png,709831565,000043_forg_880800925.png,880800925,000043_forg_221457086.png,221457086,000043_forg_815971227.png,815971227,000043_forg_560003047.png,560003047
000044.jpg,"a high-quality portrait photo of a person, , Young, Black Hair, ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000044_forg_892489585.png,892489585,000044_forg_921314561.png,921314561,000044_forg_53092966.png,53092966,000044_forg_1064950007.png,1064950007,000044_forg_830470831.png,830470831
000045.jpg,"a high-quality portrait photo of a person, , Young, , Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000045_forg_992148787.png,992148787,000045_forg_498689781.png,498689781,000045_forg_104372992.png,104372992,000045_forg_264964656.png,264964656,000045_forg_384507369.png,384507369
000046.jpg,"a high-quality portrait photo of a person, , Young, Black Hair, Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000046_forg_59239052.png,59239052,000046_forg_924771595.png,924771595,000046_forg_43975332.png,43975332,000046_forg_902007809.png,902007809,000046_forg_666161570.png,666161570
000047.jpg,"a high-quality portrait photo of a person, , Young, Black Hair, Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000047_forg_200995858.png,200995858,000047_forg_365711008.png,365711008,000047_forg_586737731.png,586737731,000047_forg_215839050.png,215839050,000047_forg_221392862.png,221392862
000048.jpg,"a high-quality portrait photo of a person, Male, Young, , ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000048_forg_349303713.png,349303713,000048_forg_956057616.png,956057616,000048_forg_881700601.png,881700601,000048_forg_862795780.png,862795780,000048_forg_5095995.png,5095995
000049.jpg,"a high-quality portrait photo of a person, Male, , Black Hair, ",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000049_forg_178873937.png,178873937,000049_forg_859520017.png,859520017,000049_forg_469957175.png,469957175,000049_forg_347759111.png,347759111,000049_forg_76746136.png,76746136
000050.jpg,"a high-quality portrait photo of a person, Male, Young, Black Hair, Smiling",stabilityai/stable-diffusion-2-1,9.0,100,0.35,000050_forg_682207826.png,682207826,000050_forg_251180947.png,251180947,000050_forg_953972475.png,953972475,000050_forg_565314801.png,565314801,000050_forg_313098989.png,313098989
